var,labelname,VerhältnisVorjahr,Verhältnisaktuell
B_A1,REGULIERUNG UND STEUERN,89.69556427001953,90.187012
B_A2,BILDUNG,97.62964630126953,95.968788
B_A3,INTERNATIONALE VERFLECHTUNG,106.1919937133789,103.61031
B_B1,TERTIÄRE BILDUNG,92.81869506835938,95.055077
B_B2,AKADEMISCHE FORSCHUNG,90.97402954101563,86.49102
B_B3,UNTERNEHMENS-FTI,103.6094284057617,99.789223
B_B4,GRÜNDUNGEN,48.85261154174805,49.261024
B_B5,FINANZIERUNG,149.6511840820313,146.00052
B_C1,DIGITALISIERUNG,71.54688262939453,75.000069
B_C2,UMWELT & KLIMA,112.9289703369141,101.15763
B_C3,KREISLAUFWIRTSCHAFT,88.98708343505859,98.644447
B_C4,STANDORTATTRAKTIVITÄT,108.2966995239258,103.73901
B_C5,GESCHLECHTERGERECHTIGKEIT,85.68687438964844,83.981926
B_D1,EFFEKTIVITÄT,102.9366912841797,97.481903
B_D2,EFFIZIENZ,93.85112762451172,88.45607
B_C6,,,89.100266
